,0,1,2,3
0,192310,15709,1,1511610052
1,192310,5062984,1,1511612232
2,192310,1042152,1,1511612248
3,192310,2859111,1,1511612258
4,192310,1042152,3,1511612431
5,192310,2859111,3,1511612439
6,192310,5051027,3,1511612589
7,192310,2859111,1,1511612639
8,192310,5051027,1,1511612732
9,192310,2859111,1,1511612745
10,192310,1042152,1,1511612764
11,192310,5051027,1,1511612774
12,192310,5062984,1,1511612881
13,192310,5051027,1,1511612920
14,192310,1042152,1,1511612928
15,192310,15709,3,1511614479
16,192310,1042152,1,1511627365
17,192310,1042152,1,1511652964
18,192310,1042152,1,1511711571
19,192310,5051027,1,1511711588
20,192310,2859111,1,1511711765
21,192310,5051027,1,1511711775
22,192310,1813380,1,1511711852
23,192310,5051027,3,1511711990
24,192310,2790543,1,1511712188
25,192310,5051027,1,1511712340
26,192310,1042152,4,1511712674
27,192310,5051027,1,1511712714
28,192310,1042152,1,1511712724
29,192310,2859111,1,1511712795
30,192310,5051027,1,1511713288
31,192310,1042152,1,1511723778
32,192310,1562036,1,1511730342
33,192310,5051027,1,1511730485
34,192310,1042152,1,1511730518
35,192310,5051027,1,1511730523
36,192310,5051027,1,1511735720
37,192310,1042152,1,1511783082
38,192310,1042152,1,1511787562
39,192310,5051027,1,1511787566
40,192310,1042152,1,1511856326
41,192310,3050651,1,1511857128
42,192310,5051027,1,1511857466
43,192310,2790543,1,1511858904
44,192310,4401268,1,1511858915
45,192310,5051027,1,1511858923
46,192310,3050651,1,1511858955
47,192310,1334594,1,1511858996
48,192310,1042152,4,1511860713
49,192310,5051027,4,1511860713
50,192310,1042152,1,1511861756
51,192310,5051027,1,1511861762
52,192310,1042152,1,1511866114
53,192310,5051027,1,1511866121
54,192310,3855789,1,1511868178
55,192310,1415828,1,1511868208
56,192310,1042152,4,1511876856
57,192310,1042152,3,1511876957
58,192310,5051027,1,1511876961
59,192310,1042152,1,1511918083
60,192310,3050651,1,1511918333
61,192310,1042152,1,1511940160
62,192310,2859111,1,1511940322
63,192310,5051027,1,1511940404
64,192310,3974260,1,1511940435
65,192310,3876466,1,1511941267
66,192310,5051027,1,1511942706
67,192310,1042152,4,1511942775
68,192310,1042152,1,1511944669
69,192310,2859111,4,1511945448
70,192310,1042152,4,1511945448
71,192310,5051027,4,1511945448
72,192310,2304016,1,1511945891
73,192310,2304016,1,1511947524
74,192310,1042152,1,1511949169
75,192310,2295555,1,1511951426
76,192310,5051027,1,1511954297
77,192310,1694466,1,1511954846
78,192310,2859111,1,1511963596
79,192310,1042152,1,1511963704
80,192310,2859111,1,1511964663
81,192310,1415828,1,1511966607
82,192310,1042152,4,1511969908
83,192310,5062984,1,1511970230
84,192310,2859111,4,1511970349
85,192310,1042152,4,1511970349
86,192310,5051027,4,1511970349
87,192310,2859111,1,1511970387
88,192310,5051027,1,1511970392
89,192310,1042152,1,1511970397
90,192310,2859111,1,1511970418
91,192310,5062984,1,1511970470
92,192310,1042152,3,1511970493
93,192310,5051027,3,1511970498
94,192310,2859111,3,1511970503
95,192310,5062984,1,1511970508
96,192310,5051027,1,1511970601
97,192310,1042152,1,1511970616
98,192310,15709,1,1511970897
99,192310,3233798,1,1511970977
100,192310,1042152,1,1511971226
101,192310,5051027,1,1511971256
102,192310,2859111,1,1511971267
103,192310,5051027,1,1511971283
104,192310,1042152,1,1511971290
105,192310,2859111,1,1511971304
106,192310,5051027,1,1511971309
107,192310,2859111,1,1511971377
108,192310,5062984,1,1511971404
109,192310,2859111,1,1511971417
110,192310,1694466,1,1511971425
111,192310,1042152,1,1511992196
112,192310,2790543,1,1512054077
113,192310,4309220,3,1512114461
114,192310,15709,1,1512114556
115,192310,2295555,3,1512115269
116,192310,2295555,1,1512212696
117,192310,4352300,1,1512258159
118,379387,1595279,1,1511760768
119,379387,705557,1,1511760796
120,379387,3452114,1,1511760801
121,379387,347712,1,1511760968
122,379387,2304016,1,1511761015
123,379387,550355,1,1511761162
124,379387,3452114,1,1511761205
125,379387,705557,1,1511761224
126,379387,2304016,1,1511761278
127,379387,705557,1,1511761330
128,379387,5051027,1,1511761419
129,379387,1595279,1,1511761469
130,379387,5051027,1,1511761508
131,379387,1595279,1,1511761564
132,379387,5062984,1,1511761581
133,379387,1042152,1,1511761602
134,379387,4616932,1,1511761695
135,379387,2565270,1,1511761700
136,379387,507611,1,1511761715
137,379387,550355,1,1511761781
138,379387,2091937,1,1511761794
139,379387,2565270,1,1511761813
140,379387,705557,1,1511761821
141,379387,2304016,1,1511761837
142,379387,3497027,1,1511761849
143,379387,1092652,1,1511761863
144,379387,693361,1,1511761982
145,379387,1092652,1,1511762847
146,379387,550355,1,1511762853
147,379387,1092652,1,1511762879
148,379387,693361,1,1511762886
149,379387,3497027,1,1511762913
150,379387,3452114,1,1511762920
151,379387,2091937,1,1511762954
152,379387,507611,1,1511763077
153,379387,693361,1,1511763089
154,379387,3452114,1,1511763227
155,379387,1886097,1,1511763243
156,379387,3497027,1,1511763342
157,379387,507611,1,1511763357
158,379387,507611,1,1511763599
159,379387,1092652,1,1511763668
160,379387,2304016,1,1511763740
161,379387,1092652,4,1511763812
162,379387,507611,4,1511763812
163,379387,4309220,1,1511786546
164,379387,1562036,1,1511786712
165,379387,1595279,1,1511786723
166,379387,5051027,1,1511786734
167,379387,507611,1,1511786796
168,379387,3237415,1,1511838215
169,379387,1523499,3,1511846546
170,379387,3452114,4,1511865699
171,379387,180935,1,1511866004
172,379387,1813380,1,1511866031
173,379387,4568476,1,1511941293
174,379387,4063028,1,1511950500
175,379387,1092652,1,1511950710
176,379387,3452114,1,1511950716
177,379387,1092652,1,1511950725
178,379387,1886097,1,1511950761
179,379387,550355,1,1511950803
180,379387,507611,1,1511950848
181,379387,550355,1,1511950899
182,379387,1092652,1,1511950938
183,379387,3452114,4,1511950979
184,379387,507611,4,1511950979
185,379387,1092652,4,1511950979
186,379387,3452114,1,1511951015
187,379387,1092652,1,1511951035
188,379387,507611,1,1511951051
189,379387,3452114,4,1511951066
190,379387,507611,4,1511951066
191,379387,1092652,4,1511951066
192,379387,5062984,1,1511960140
193,379387,5051027,1,1511960157
194,379387,1813380,1,1511960164
195,379387,507611,3,1511960395
196,379387,1092652,3,1511960401
197,379387,3452114,1,1511960409
198,379387,2565270,1,1511960425
199,379387,3736086,1,1511960450
200,379387,2565270,3,1511960465
201,379387,2565270,1,1511960470
202,379387,1886097,1,1511960489
203,379387,507611,1,1511996178
204,379387,2964774,1,1512132711
205,379387,3452114,1,1512187635
206,379387,180935,1,1512187672
207,379387,180935,4,1512188195
208,379387,4063028,1,1512202855
209,379387,3452114,1,1512272734
210,379387,3452114,1,1512298696
211,379387,2343757,1,1512298883
212,379387,2304016,1,1512298922
213,497020,4544013,1,1511576513
214,497020,1399650,1,1511576628
215,497020,4544013,1,1511576645
216,497020,4544013,1,1511576928
217,497020,4544013,1,1511577054
218,497020,3158247,1,1511577258
219,497020,4846705,1,1511579605
220,497020,1045382,1,1511579666
221,497020,507611,1,1511588015
222,497020,705557,1,1511588038
223,497020,507611,1,1511588054
224,497020,5051027,1,1511588075
225,497020,2790543,1,1511589877
